,Working Capital to Total Assets,Liability to Equity,Gross Profit to Sales,Net Income to Total Assets,Equity to Liability,Current Liability to Current Assets,Cash Flow to Equity,Equity to Long-term Liability,Current Liability to Equity,Current Liability to Liability,Fixed Assets to Assets,Cash Flow to Sales,Total expense/Assets,Total income/Total expense,Retained Earnings to Total Assets,Long-term Liability to Current Assets,Current Liabilities/Equity,Working Capital/Equity,Current Liabilities/Liability,Inventory/Current Liability,Inventory/Working Capital,Current Liability to Assets,Cash/Current Liability,Cash/Total Assets,Current Assets/Total Assets,Bankrupt?
0,0.67277529248986,0.29020189277926,0.6014532901015329,0.7168453432178271,0.0164687409123162,0.11825047660899,0.31290494811932595,0.126549487816618,0.339077006789355,0.6762691761530921,0.42420576221666706,0.6715676535815001,0.06485570769083099,0.00202161301202566,0.903224771166726,0.025592367997750002,0.339077006789355,0.7212745515217429,0.6762691761530921,0.0010359899916580699,0.27692015824050603,0.147308450425486,0.00014733602476056,0.00409440595228806,0.190642959052727,1
1,0.751110917003808,0.283845979801729,0.6102365259298721,0.7952971360430351,0.020794306334635,0.0477752815903248,0.31416313518466604,0.120916105834965,0.329740147869877,0.30858859304371006,0.468828128338473,0.671569942261066,0.0255158599950638,0.00222560834310179,0.9310652175774871,0.0239468186673397,0.329740147869877,0.7319752885123509,0.30858859304371006,0.00520968239954949,0.28964157642601,0.0569628274180797,0.00138391008146992,0.0149477269714099,0.18241905412061601,1
2,0.829501914934622,0.290188532942043,0.601449340486212,0.774669696989803,0.0164741143272785,0.0253464891288078,0.31451542627366996,0.117922319423666,0.33477685131984697,0.44602748715757506,0.27617922223454305,0.671571321761166,0.0213874282332057,0.00206007064952466,0.90990336247412,0.00371511569336923,0.33477685131984697,0.742728637603645,0.44602748715757506,0.0138787857963224,0.2774555281306261,0.0981620645437837,5340000000.0,0.000990944451124824,0.6028057016687081,1
3,0.7257541796882421,0.281721192981814,0.583537612244893,0.739554525158061,0.0239823322073886,0.0672496172630687,0.302382254833178,0.12076045528682999,0.33150897867185997,0.615848368585853,0.559143963323496,0.671519170200148,0.0241610701740241,0.0018313585555101602,0.906902158837211,0.0221651997451294,0.33150897867185997,0.729824908743367,0.615848368585853,0.00354014789619415,0.276580304232685,0.0987146304496934,0.00101064643157612,0.0188506248270314,0.225814868882578,1
4,0.751822452472965,0.27851378988041803,0.598781509888099,0.79501587263578,0.0354902008836198,0.0477253717624306,0.31156716052411104,0.11093323366346801,0.33072631939890995,0.975006616109995,0.309554916594047,0.6715630525070301,0.0263852456518637,0.00222393003478029,0.91385019745186,0.0,0.33072631939890995,0.7319996410109209,0.975006616109995,0.0048685702885864,0.28791265268769106,0.110194845896651,0.000680463559654079,0.0141609737513009,0.358380159768393,1
5,0.6867286462499929,0.285087100359518,0.590172326668232,0.7104204951009481,0.0195344778286463,0.099521933114496,0.31326847182286893,0.112917172167462,0.335534372009755,0.733351868524405,0.6031934796382751,0.671567592711671,0.0400936219797891,0.00186560861496925,0.9030412671138449,0.00377250489049462,0.335534372009755,0.7252016387129889,0.733351868524405,0.004879131203208429,0.27667847430415504,0.13900210638427,0.000100856341323415,0.0026452256427289397,0.214535988082286,1
6,0.729416462238773,0.29250412419641697,0.619948867179148,0.7366190976839391,0.0156630746538442,0.060765124792415,0.310296437752667,0.12056136646638499,0.33739201322250606,0.508088825932489,0.35585378151783503,0.671562260304254,0.0928023065929925,0.00212073567022402,0.911441407767521,0.009347426354542741,0.33739201322250606,0.728730796471968,0.508088825932489,0.00215934941468164,0.276643291966357,0.115920411679634,0.00105031178699612,0.0229885979786101,0.295221006636909,0
7,0.797005213929915,0.278607305606177,0.601739340003798,0.815350392476567,0.0348885561799154,0.0302011045942807,0.314363648145748,0.11450796884170801,0.329803725937385,0.755769661403609,0.21847335826537803,0.6715717631686899,0.0254821527696264,0.00235999923619977,0.9354493092456322,0.0053456555444072,0.329803725937385,0.734946410014,0.755769661403609,0.00575584641755504,0.277275204970332,0.0870418011288855,0.0008881219853254429,0.0146159133960059,0.44794203451493203,0
8,0.813737522948239,0.27642251408307106,0.6036134510669879,0.8036472897921321,0.0658264974662765,0.021710461445183998,0.315376063533981,0.11093323366346801,0.32809275588075204,0.906707130576253,0.323861362852714,0.6715761851138321,0.0298840610686264,0.0022739602931646802,0.9352002092879941,0.0,0.32809275588075204,0.7351820547574041,0.906707130576253,0.0043847546844966705,0.277087430376265,0.0580597284096259,0.0131902147956569,0.145189217702725,0.41464560129832795,0
9,0.8256958707084391,0.279387518743906,0.599205074060972,0.804194656500343,0.0308008650901007,0.0254943019553504,0.314645153463564,0.11549897825205001,0.330409487644987,0.7348993009376569,0.254953362305477,0.671572410592597,0.0358910619841396,0.00226919628305072,0.938289896761562,0.00495068208587885,0.330409487644987,0.737180245673185,0.7348993009376569,0.0103429552829112,0.277337460862513,0.0945633028255581,0.0004908833959261411,0.00877279091527246,0.57718930416151,0
